"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 12:42:58 CEST 2022","Thu Jul 28 12:43:03 CEST 2022","5014","","Example","","TestG","","TestG",""
"passed","Thu Jul 28 12:42:51 CEST 2022","Thu Jul 28 12:42:58 CEST 2022","7025","","Example","","TestA","","TestA",""
"passed","Thu Jul 28 12:42:51 CEST 2022","Thu Jul 28 12:42:52 CEST 2022","1041","","Example","","TestC","","TestC",""
"passed","Thu Jul 28 12:42:53 CEST 2022","Thu Jul 28 12:43:03 CEST 2022","10018","","Example","","TestE","","TestE",""
"failed","Thu Jul 28 12:43:00 CEST 2022","Thu Jul 28 12:43:15 CEST 2022","14973","","Github","","MainPage","","MainPage",""
"passed","Thu Jul 28 12:42:52 CEST 2022","Thu Jul 28 12:42:55 CEST 2022","3016","","Example","","TestD","","TestD",""
"passed","Thu Jul 28 12:42:51 CEST 2022","Thu Jul 28 12:42:53 CEST 2022","2038","","Example","","TestB","","TestB",""
"passed","Thu Jul 28 12:42:55 CEST 2022","Thu Jul 28 12:43:00 CEST 2022","5016","","Example","","TestF","","TestF",""
